species,tribe,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,UOJ_PC1,UOJ_PC2,d13C,d15N
Chando,lampr,0.00710430735270693,0.0391390321445666,0.158742459213888,0.0379763154470646,-0.00855015415738367,0.0124127058464934,-15.785484652,6.4712268344
Cphfr5,cypho,-0.0826481378807785,-0.021175503054545,0.00374365027780148,0.00734343059407432,0.00442541344029671,-0.00219944206463936,-21.180815207,8.4533763436
Cphfro,cypho,-0.0771194996663324,-0.0150198161848542,0.00521176009159558,0.00404655046565918,0.0043474212903862,-0.00374133610687889,-20.740367881,6.9809339214
Cphgib,cypho,-0.104141176599219,-0.0309704496751732,0.0147510864716616,-0.0140536224942715,0.00686077612144883,-0.00331856492559385,-20.561305115,7.8045529436
Cteben,cypho,-0.0363136836120147,-0.0376383712651692,0.0165876283192723,0.0384026796172416,0.035413521851447,-0.0018136442194174,NA,NA
Ctehor,troph,-0.0275987306349039,-0.0348683342257509,-0.0487227014734289,-0.0398382800347512,0.0171568513049064,0.00125200894487157,-18.119185577,7.9673187301
Cunlon,ectod,-0.0271460820359844,-0.026130282920885,0.00796518716351337,-0.11006729891331,-0.0082360534886238,-0.0085467457157915,-14.460601486,5.0183798229
Cyafoa,ectod,-0.0254549502215251,-0.0145151506895779,0.000675720402110974,-0.178522129158506,-0.012025295311338,0.00312774048019897,-15.954701609,4.8045595045
Cyafur,ectod,-0.0211899590765568,-0.0161610871843108,-0.00806027076886261,-0.182403753495384,-0.0108383117713309,-0.00278112645343992,-13.490027761,4.4908447041
Cypcol,cypri,0.054069807861153,-0.0208117924069619,-0.0630011199953593,0.0241004626296032,0.0375118024416693,0.0220469913715292,-21.633638707,6.85365154
Cypdwj,cypri,0.0689826332242638,-0.0128097761501874,-0.0683254348321461,0.026852519028876,0.033140953688041,0.020907716133556,-22.08464689,6.5260842653
Cypkan,cypri,0.0506021975606392,-0.0210457656802172,-0.0644244945031356,0.0341895814996361,0.0310539129284796,0.0164706296430162,-21.6507213,7.0750048162
Cyplep,cypri,0.0630257278308258,-0.0234549709302245,-0.0323179318099305,0.0488520939270841,0.0365347139966157,0.0228873520218082,-22.450108046,6.4739194637
Cypmic,cypri,0.0747576276553439,-0.0176049182378832,-0.0695559658099486,0.03041413216626,0.0402840966538847,0.0214578953155987,-21.26720013,8.0229481535
Cyppav,cypri,0.0610898967943339,-0.0175136600282084,-0.0757455960707018,0.0198521084342979,0.0391333899593495,0.0222668525471212,-21.522434834,6.7333536142
Cypzon,cypri,0.0462672572765514,-0.0409360264036171,-0.0778718333330694,0.00717752414132046,0.0460805071716568,0.0210089242924962,-21.644743986,7.1614998058
Ectdes,ectod,0.00255900493959974,-0.0117162089969597,0.00111412573785765,0.00572333296909563,-0.00464943615472639,0.00658513038176995,-17.978648643,5.8201946192
EctspN,ectod,0.0206324960757025,-0.00617878627967123,0.0114786062778529,-0.0100977154361832,-0.0011376601000799,0.0115649191442294,-19.165146335,6.9247060694
Enamel,ectod,0.0868577487538954,0.0371248423110463,-0.0560973748723494,0.00524512506593777,0.0148433939238113,0.0121968566886298,-19.201374794,5.9565607114
Erecya,eretm,-0.0525705120167623,0.00809092180276984,0.0432506525056645,-0.0346464660366632,-0.003210867490786,0.000733731717672602,-10.0583058767,4.3311313177
Eremar,eretm,-0.0292842519792757,0.0176220963591936,0.0768351836704665,-0.0104144445909284,-0.00428415586588642,0.00346359236428461,-14.945994758,5.9660382561
Gnaper,limno,-0.0252289563191648,-0.0269416649658572,-0.0885150155187605,-0.00934155880222316,0.0369178841194666,-0.00954738076615194,-19.485705037,6.9234650766
Gnapfe,troph,-0.039300656098225,-0.0227346353739739,-0.0914381429562357,-0.0147242051838728,0.019675377780324,0.00401224210389872,-18.747440855,6.4887278481
Gralem,ectod,0.0334830181085671,0.00100816658494945,-0.0411931077797022,-0.0485065727408418,0.00108985397855399,0.0104638403672754,-19.274299484,7.5356178318
Gwcabe,limno,-0.0145626776658542,-0.00566505623964178,-0.0261076283014267,0.0731685676823924,-0.0100147690446066,-0.0096382777231581,-19.866995998,8.8650390671
Gwcbel,limno,-0.00437571832663308,-0.0500844245065576,-0.111716256427393,0.0160482197072213,0.0248337123808054,-0.00719431371731377,-20.129774167,7.9997619776
Gwcchr,limno,-0.0287031582473027,-0.0390416185939327,-0.0581612263460668,0.0369469835542683,0.0137896558401233,-0.0149935982895996,-19.93526666,8.9140110333
Gwcsta,limno,-0.0470196732984309,-0.0335838917939686,-0.0697372726777918,-0.0432223094387449,0.00797793102168322,-0.0165939662440846,-19.809562159,8.1034317953
Hapmic,peris,0.0516283782527089,-0.0166335631488471,-0.0820570758852353,-0.000670490526215464,0.00589359099705852,-0.0040761972902195,-19.901161293,6.6515992376
Hemste,bathy,0.00913807101820584,-0.058648258612945,-0.182720416656559,-0.0249341862212154,0.0131428776292393,-0.00786198641907558,-21.1950603055556,6.85331121533333
HemstZ,bathy,-0.00060408340830099,-0.0558463668260404,-0.204833771700729,-0.00296230196514547,0.00994918912021292,-0.00948421750744702,-20.377632105,8.2615815765
Intloo,troph,-0.068850391264597,-0.014937587559022,-0.00399556702000288,-0.1241973960613,-0.0101236062707165,-0.0043839190876178,-14.824841337,4.6439893404
Juldic,lampr,0.0279296992348309,0.0402039506541982,0.13311169524449,0.0612311320861049,-0.0012059860283257,0.0184941712969862,-18.888506973,6.8920613558
Julkom,lampr,0.040109534862167,0.0338172682875314,0.139028112483008,0.0592182383721182,0.00143110818584175,0.015389730146157,-19.999094376,6.5034954634
JulmaN,lampr,0.0316976132141186,0.0411513113391203,0.117552548968538,0.0698713342155392,-0.00151545882952803,0.0144398978652551,-21.163133478,7.3304951247
